#;Number;Year;Month;Date;Customer;Net amount;Tax;Total amount
1;1;2004;1;2004-01-27;RNGILZ JDZTEGAEMA;313,240;25,840;339,080
2;2;2004;1;2004-01-01;SKULRB OVWOIYIDDL;54,900;4,530;59,430
3;3;2004;1;2004-01-17;YMIUWA QWMSNYIQOS;160,100;13,210;173,310
4;4;2004;1;2004-01-28;CMLJDQ BAFBVWATJO;106,670;8,800;115,470
5;5;2004;1;2004-01-09;JIDXLK JSCBIDJQER;256,000;21,120;277,120
6;6;2004;1;2004-01-11;LZDSUG IVPANISCDP;382,590;31,560;414,150
7;7;2004;1;2004-01-05;AQGQMP FIZHHHHKWG;256,440;21,160;277,600
8;8;2004;1;2004-01-18;EOECCN LTUNSZJFYL;67,850;5,600;73,450
9;9;2004;1;2004-01-06;TKIQVP HAWAGDCUKT;29,820;2,460;32,280
10;10;2004;1;2004-01-18;STYJOY QUTFZMKTDU;20,780;1,710;22,490
11;11;2004;1;2004-01-31;EVGVVG BUWCDWMOIS;348,220;28,730;376,950
12;12;2004;1;2004-01-19;JUIDMZ MTYUIZFHEC;65,260;5,380;70,640
13;13;2004;1;2004-01-17;XKCQUY SQKDBWMVVK;121,720;10,040;131,760
14;14;2004;1;2004-01-28;PIQHFH HARCEUESIQ;259,890;21,440;281,330
15;15;2004;1;2004-01-03;CIYGHH OIVGNINKCN;89,470;7,380;96,850
16;16;2004;1;2004-01-14;DOAUDE PLBACKUWHM;137,980;11,380;149,360
17;17;2004;1;2004-01-21;CUXUGP WBRLIXQWGC;138,850;11,460;150,310
18;18;2004;1;2004-01-23;WSGVOP FRQTPCUFCF;368,370;30,390;398,760
19;19;2004;1;2004-01-25;EXDKPZ SXMJBMXXNM;131,860;10,880;142,740
20;20;2004;1;2004-01-06;IUKTYY MOICFLYHZW;383,460;31,640;415,100
21;21;2004;1;2004-01-06;OVPMOP LIZZSSPEUH;345,840;28,530;374,370
22;22;2004;1;2004-01-26;HSBIVS QZQNSKJOXO;71,290;5,880;77,170
23;23;2004;1;2004-01-11;QZXFPN WARSHQYISP;363,400;29,980;393,380
